MLSNumber|Category|Status|Price|SoldDate|SoldPrice|StNumber|StDir|StName|StType|Unit|City|Locale|ZipCode|Subdivision|County|Area|MLSSubAreaCode|Bdrm|Bath|Style|LandSize|GarType|GarSpaces|Elementary|MiddleSchool|HighSchool|OfficeName|OfficePhone|AgentName|AgentPhone|OfficeCode|DOM|AssessorCode|YearBuilt|NewConstruction|TotalSqFt|FinishedSQFTincBasement|FinishedSQFT|LowerSQFT|MainFloorSQFT|UpperSQFT|BasementSQFT|BasementFoundation|DesignFeatures|Fireplace|Heating|MasterBedroomBath|Type|Acres|LotSize|Zoning|AssocFee|EstAnnualTaxes|TaxYear|LargeText|TotalUnits|HalfBaths|ThreeQuarterBaths|FG_Description|Longitude|Latitude|FullBaths|LastUpdateDate|ListDate|BuyerOfficeMlsId|BuyerAgentFirstName|BuyerAgentLastName|FG_NewFinancing|FG_Ownership|AssocFeeFreq
1017956|1|Sold|399900|09/27/2024|399900|2324|W|8th|St||Greeley|Greeley|80634|Houston Heights|Weld|10|3|4|2|1 Story/Ranch||Detached|4|Madison|Franklin|Northridge|Blue Steel Real Estate, Inc.|9704515606|Justin Gesso|7202447906|BSRE1|23||1949|0|1744|1744|872||872||872|Full Basement||Living Room Fireplace|Forced Air|||0.14|6000|RM||1540|2023|Incredible all-brick house that has been fully updated. Separate upstairs and downstairs units. Downstairs is under lease, which can be used to help qualify for your mortgage if you live upstairs. Traditional owner-occupant loans are fully available, including low-down payment options. At 1,744 finished sqft, this is one of the larger floorplans in the area. Huge 864 sqft overiszed garage can fit multiple cars while also having built-in storage and workshop areas. Many major updates over the last 2 years, including new heater, new central AC, new windows, new carpet, new LPV (bathrooms and kitchens), refinished hardwood, interior paint, and exterior paint. All applicances and washer/dryer stay. Stoves are electric but gas is available. Grass has been seeded and new trees planted. Sprinkler system exists but it needs a new control panel. Estimated rent potential of approximately $31,200/year. This is an exceptionally rare opportunity! Don't miss it. Need a lender that can use the rental income to help with great loan and low-down payment options? Contact Seller's Preferred Lender.||0|0||-104.71717|40.42473|2|Sep 27 2024 11:54AM|09/05/2024|L1ST|June|Lemmings|Cash,Conventional,FHA,VA|Private Owner|
1018366|1|Sold|449000|10/11/2024|450000|4921|W|8th|St||Greeley|Greeley|80634|Westmoor West|Weld|10|2|4|3|Four-Level||Attached|2|Mcauliffe|Franklin|Northridge|Blue Steel Real Estate, Inc.|9704515606|Mark Ferguson|9704515606|BSRE1|31||1984|0|2540|2440|1824|380|784|660|716|Partial Basement,90%+ Finished Basement|Eat-in Kitchen,Separate Dining Room,Cathedral/Vaulted Ceilings,Washer/Dryer Hookups|Gas Fireplace,Family/Recreation Room Fireplace|Forced Air|3/4 Primary Bath||0.21|9000|RL||2093|2023|What a great house in Westmoor West! The four level home has 4 bedrooms, plus an office, 3 bathrooms, a large living room, formal dining room, and huge kitchen plus another large family room with a fireplace. Large fenced yard with a deck off the lower level. New paint and flooring throughout.||1|1||-104.760262|40.425828|1|Oct 29 2024 11:42AM|09/11/2024|HRGFC|Lizza|Kiese-Martinez|Cash,Conventional,FHA,VA|Private Owner|
1018421|1|Sold|440000|10/17/2024|440000|4541|W|Pioneer|Ln|11|Greeley|Greeley|80634|College Green|Weld|10|10|3|2|1 Story/Ranch||Attached|2|Monfort|Heath|Greeley Central|Kittle Real Estate|9704604444|Rob Kittle|9704604444|KTLRE|36|095911302086|1978|0|1840|1840|1840||1840||0|No Basement|Open Floor Plan,Walk-in Closet,Washer/Dryer Hookups,Wood Floors,Kitchen Island,Sunroom|Gas Fireplace,Dining Room Fireplace|Forced Air|3/4 Primary Bath|Patio Home,Contemporary/Modern|0.05|2112|PUD|280|1568|2023|Welcome to your charming single-level home located in the College Green community, conveniently situated just minutes away from the Greeley Country Club. A rare find where comfort and convenience is wrapped in style, this beautifully maintained residence is perfect for anyone looking for a peaceful yet connected lifestyle. As you step inside, you are greeted by an inviting open-concept living area designed with built-in cabinets that provide both practical storage solutions and display space for your prized collectibles. Whip up your favorite meals in the kitchen, complete with granite countertops, white appliances, tiled backsplash, and a central island, for added preparation space and casual dining. The adjacent family area features a cozy gas fireplace, providing a lovely ambiance for gatherings. A unique pass-through window connects these spaces, enhancing the open feel while maintaining a sense of separation. This home offers three bedrooms, each featuring plush carpeting for a cozy feel. The spacious primary suite is a true retreat, complete with an ensuite bathroom and a walk-in closet. The additional bedrooms are well-sized and can accommodate family, guests, or be transformed into a home office. An added bonus to this lovely home is the sunroom, where abundant natural light creates an ideal setting for reading, relaxing, or enjoying the view of the outdoors, while being protected from the elements. The small patio is the perfect size for enjoying the fresh Colorado air, offering just enough room for outdoor enjoyment without the upkeep.  Located within walking distance of the community clubhouse and pool, you'll enjoy easy access to recreational amenities that enhance your lifestyle. Plus, with downtown Greeley just a short drive away, you'll have access to a variety of shopping, dining, and entertainment options.||0|1||-104.75518|40.41177|1|Oct 17 2025 04:15AM|09/11/2024|ETHO|Philip|Cooper|Cash,Conventional,FHA,VA|Private Owner|Monthly
1018522|1|Sold|389900|10/29/2024|399900|1902||24th|Ave Ct||Greeley|Greeley|80634|Rolling Hills|Weld|10|9|4|2|1 Story/Ranch||Attached|2|Meeker|Heath|Greeley Central|Resident Realty|9702828585|Wendy Roberts|9705764685|0RERE|48||1966|0|2268|2142|1242||1242||1026|90%+ Finished Basement|Eat-in Kitchen,Separate Dining Room,Washer/Dryer Hookups,Wood Floors||Forced Air,Pellet Stove|Shared Primary Bath||0.16|6900|RES||$1945|2023|Come Check Out this this ROLLING HILLS RANCH, with a cute eat-in kitchen and cozy dining room space. The Living Room and three main floor bedrooms all have hardwood floors.  Basement has an additional bedroom with a large, family room with options galore.  Seller currently uses that space for a primary bedroom.  Attached two car tandem garage and wonderful east facing patio and private, fenced backyard.  Newer Roof, and NO HOA!||0|1||-104.719018|40.409083|1|Oct 29 2024 02:33PM|09/12/2024|EXPCO|Bridget|Osborne|Cash,Conventional,FHA,VA|Private Owner|
1018688|1|Sold|430000|11/15/2024|430000|1532||45th|Ave||Greeley|Greeley|80634|College Green|Weld|10|10|4|3|Tri-Level||Attached|2|Monfort|Heath|Greeley Central|Four Peaks Real Estate|9705183110|Callie Hood|9705183110|FPRE1|62||1985|0|2178|2178|2178|680|818|680|0|Daylight Basement|Eat-in Kitchen,Separate Dining Room,Cathedral/Vaulted Ceilings,Pantry,Wet Bar,Washer/Dryer Hookups|2+ Fireplaces,Gas Fireplace|Forced Air|Shared Primary Bath,5 Piece Primary Bath|Contemporary/Modern|0.19|8400|SFR||1849|2023|This 4 bed, 3 bath home in the heart of Greeley is waiting for you to make it your own! Walk in to vaulted ceilings on the main floor with a bright, spacious living room and gas fireplace. The kitchen features beautiful wood floors and a cozy dining area that leads to the backyard. Upstairs you'll find 3 bedrooms and a 5-piece master bathroom. On the lower level is the 4th bedroom and another living area with a second gas fireplace and wet bar. Enjoy the Colorado weather on the private front deck or the peaceful back patio.||1|1||-104.7516|40.41145|1|Nov 15 2024 04:42PM|09/15/2024|1RMFG|Chad|Nixon|Cash,Conventional,FHA,VA|Private Owner|
1018841|2|Expired|399999|||1771||35th|Ave Pl||Greeley|Greeley|80634|Rangeview Commons|Weld|10|10|3|3|2 Story||Attached|2|Scott|Franklin|Greeley West|RE/MAX Alliance-Greeley|9703305000|Chad Nixon|9707760658|1RMFG|98||2018|0|2782|1621|1621||1621||1161|Full Basement,Unfinished Basement|Eat-in Kitchen,Open Floor Plan,Pantry,Walk-in Closet||Forced Air|3/4 Primary Bath|Contemporary/Modern|0.05|1980|R-E|225|1783|2023|Welcome to 1771 35th Avenue Place, where elegance meets convenience in this charming townhome. Designed for minimal maintenance, this home offers the perfect blend of comfort and practicality. Step inside to a main floor that boasts a spacious primary bedroom, complete with a luxurious step-in shower and an expansive walk-in closet. Enjoy the ease of main floor laundry and delight in the large kitchen, featuring ample storage and plenty of room for all your culinary adventures.Upstairs, discover two additional bedrooms. The unfinished basement provides a fantastic opportunity for future expansion, allowing you to transform this home into a 4-bedroom, 4-bathroom haven. The backyard is ready to be fenced in, offering a private retreat for relaxation or entertaining.Located in a vibrant community, this townhome is close to shopping centers, well-established neighborhoods, parks, and trails, making it ideal for those who love convenience and outdoor activities. To top it all off, the low-cost HOA takes care of trash service, snow removal, lawn maintenance, and exterior water ensuring you have more time to enjoy the finer things in life.||1|1|Townhome,Other Description,1/2 Duplex|-104.735919|40.411496|1|Dec 24 2025 04:15AM|09/18/2024||||Cash,Conventional,FHA,VA|Private Owner|Monthly
1018957|1|Sold|410000|11/01/2024|410000|2918|W|17th|St||Greeley|Greeley|80634|WOODBRIAR|Weld|10|9|5|3|1 Story/Ranch||Attached|2|Scott|Heath|Greeley Central|1st Realty Associates Inc|3037763200|June Lemmings|9705735791|L1ST|44||1972|0|2016|1906|1008||1008||1008|Full Basement,90%+ Finished Basement|Separate Dining Room||Forced Air|3/4 Primary Bath|Contemporary/Modern|0.19|8276|RES||1517|2023|Welcome to this stunning 5-bedroom, 3-bathroom home, featuring a beautifully updated kitchen with modern finishes and ample counter space, perfect for cooking and entertaining. The large backyard offers plenty of room for outdoor activities, gardening, or relaxing under the open sky. Inside, the spacious basement provides endless possibilities for a recreation room, home office, or additional living space. Upstairs, you'll find clean, updated bedrooms and bathrooms, offering comfort and style. This home is truly move-in ready and waiting for you to make it your own!||0|1||-104.72909|40.41228|2|Nov 01 2025 04:15AM|09/19/2024|07328|Douglas|Priest|Cash,Conventional,FHA,VA|Private Owner|
1019356|1|Sold|419000|11/01/2024|417000|4408|W|6th|St||Greeley|Greeley|80634|Westmoor Acres|Weld|10|2|5|2|1 Story/Ranch||Attached|2|Shawsheen|Franklin|Northridge|Realty One Group Fourpoints|9705735880|Colleen Carithers|9704058663|ROGF1|38||1978|0|2587|2500|1391||1391||1196|Full Basement,90%+ Finished Basement|Separate Dining Room,Workshop,Walk-in Closet,Washer/Dryer Hookups|Family/Recreation Room Fireplace|Forced Air|Shared Primary Bath||0.16|6817|RL||1999|2023|Such a great home, in such a great location!  1 block from Epple Park and 3 blocks from Shawsheen Elementary.  Very well maintained ranch plan with full finished basement.  Multiple family room areas.  Garage is finished and insulated.  There is a storage shed in yard PLUS a shop perfect for your hobby, with AC and electric! All appliances are included.  Remodeled kitchen with white cabinets and granite with tile backsplash.  Granite in baths as well.  Wonderful landscaping! Nicely updated!||0|0||-104.75043|40.42693|2|Nov 05 2024 11:39AM|09/24/2024|L1ST|Rodrigo|Villafana|Cash,Conventional,FHA,VA|Private Owner|
1019491|1|Sold|419000|10/24/2024|420000|4407|W|6th|St||Greeley|Greeley|80634|Westmoor Acres|Weld|10|2|4|3|Bi-Level||Attached|2|Shawsheen|Franklin|Northridge|Austin & Austin Real Estate|9703530790|Dale Souther|9703818544|1AUST|29|R1864686|1978|0|2310|2310|1212||1212||1098|Daylight Basement|Cathedral/Vaulted Ceilings,Wet Bar,Washer/Dryer Hookups|Living Room Fireplace|Forced Air|3/4 Primary Bath||0.21|9023|R-L||2132|2024|This beautiful home has so many great features. Great location, large living room with vaulted ceiling and fireplace, main floor primary bedroom and bath, main floor laundry room, whole house fan, and A/C, large family room with wet bar, two large decks to entertain and relax on, ample closet/storage space, beautiful back yard, enclosed wood fencing. Appliances included, sprinkler system, hardy board siding. Schedule your appointment now. This house is in great shape.||0|2||-104.75074|40.42735|1|Oct 25 2024 02:27PM|09/26/2024|1SEAR|Darla|Francies|Cash,Conventional,FHA,VA|Private Owner|
1019636|1|Sold|389900|11/26/2024|394000|1318||24th|Ave||Greeley|Greeley|80634|Westview 1st Add|Weld|10|9|4|3|1 Story/Ranch||Attached|1|Madison|Heath|Greeley Central|The Wild Realty Group|9704606573|AJ Guerin|9702793313|TWRE1|59||1960|0|2628|1628|1332||1332||1296|Full Basement,90%+ Finished Basement|||Forced Air|Full Primary Bath||0.21|9000|SFR||1881|2023|Classic Brick ranch ready for you to move in!  The spacious covered patio welcomes you home.  There's room for everyone in this home on a large lot.  Aside from the 4 bedrooms and 3 bathrooms, the home features a finished basement, tons of storage, and a flex room off of the basement living area.  No HOA and a fully fenced yard, with an additional sizable covered patio out back.  Exterior and interior security system equipment included!  Well maintained and ready for you to make it yours!||1|0||-104.71777|40.41775|2|Nov 26 2025 04:15AM|09/29/2024|KWR30|Lydia|Golesh|Cash,Conventional,FHA,VA,1031 Exchange|Private Owner|
1019723|1|Sold|415000|10/29/2024|390000|1923||29th|Ave||Greeley|Greeley|80634|Rolling Hills|Weld|10|9|3|2|2 Story||Attached|2|Meeker|Heath|Greeley Central|B & B Real Estate, LLC|9703305346|Robert Burke|9703305346|1BBRE|0||1973|0|2324|1556|1556||1556||768|Unfinished Basement|||Forced Air|||0.18|7987|Res||1742|2023|||0|0||-104.73066|40.40873|2|Oct 29 2024 04:30PM|10/01/2024|1BBRE|Robert|Burke||Private Owner|
1019903|1|Expired|389900|||518||37th|Ave||Greeley|Greeley|80634|Edwards Homes|Weld|10|2|5|3|1 Story/Ranch||Attached|2|Shawsheen|Franklin|Northridge|RE/MAX Alliance-Greeley|9703305000|Chad Nixon|9707760658|1RMFG|271||1971|0|2160|1824|1080||1080||1080|Full Basement,90%+ Finished Basement|Eat-in Kitchen,Separate Dining Room,Washer/Dryer Hookups|Re-circulating Fireplace,Family/Recreation Room Fireplace,Basement Fireplace|Forced Air,Wood Stove|3/4 Primary Bath||0.16|7150|RES||1634|2023|Introducing the best investment opportunity in Greeley: a rental to add to your portfolio or the perfect home to make your own. This 5 bed, 3 bath ranch style home offers a finished basement, attached 2 car garage and a fully fenced backyard waiting for your personal touches. The convenient yet quiet location gives you easy access to shops, restaurants and schools. Whether you're an investor looking for a rental with tenants already in place, a first time buyer on the hunt for an affordable start to homeownership, or anywhere in between, your search ends at 518 37th Avenue.||0|2||-104.73886|40.4283|1|Jun 30 2026 04:15AM|10/03/2024||||Cash,Conventional,FHA,VA|Private Owner|
1019919|1|Expired|385000|||1315||23rd|Ave Ct||Greeley|Greeley|80634|Westview|Weld|10|9|3|2|1 Story/Ranch||Attached|1|Scott|Heath|Greeley Central|RE/MAX Alliance-FTC South|9702263990|Kyle Christianson|9708376378|9RMSA|90||1957|0|2106|2000|1053||1053||1053|Full Basement,75%+Finished Basement||Living Room Fireplace|Forced Air|||0.19|8276|RES||1744|2023|Welcome to this charming 3-bed, 2-bath brick ranch style home in a desirable neighborhood with mature landscaping and no HOA! Enjoy the warmth of wood floors and a fireplace in the inviting living room. The cozy updated kitchen is perfect for family gatherings. The large finished basement offers additional living space, ideal for a rec room or home office. Step outside to a big backyard, perfect for outdoor activities and relaxation. This home combines comfort and convenience in a fantastic location.||0|0||-104.71734|40.41773|2|Jan 01 2025 12:06AM|10/03/2024||||Cash,Conventional,FHA,VA|Private Owner|
